#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
75.0,6,13.080881
58.0,7,13.086439
57.0,5,13.093149
66.0,4,13.09786
70.0,9,13.110207
61.0,12,13.122618
56.0,9,13.130997
49.0,13,13.139589
49.0,13,13.154216
110.0,25,13.173076
57.0,8,13.17929
59.0,3,13.183169
57.0,5,13.191115
57.0,2,13.192108
59.0,3,13.195552
50.0,20,13.211866
103.0,17,13.2303
59.0,9,13.241321
57.0,2,13.241969
59.0,9,13.247978
57.0,2,13.255141
60.0,16,13.266733
55.0,10,13.273394
58.0,10,13.281772
64.0,6,13.290239
66.0,13,13.300886
51.0,11,13.308942
59.0,6,13.314586
50.0,1,13.318765
50.0,1,13.319391
76.0,8,13.326237
83.0,9,13.334027
60.0,5,13.342025
46.0,16,13.35679
65.0,5,13.360021
60.0,5,13.363381
73.0,8,13.375145
54.0,16,13.389896
50.0,1,13.39293
56.0,6,13.397198
50.0,1,13.401056
88.0,28,13.428033
81.0,8,13.436087
64.0,12,13.447328
57.0,2,13.454628
57.0,5,13.458532
53.0,17,13.473542
59.0,3,13.476878
50.0,1,13.480831
50.0,1,13.483891
57.0,5,13.488158
57.0,5,13.491913
50.0,1,13.495882
57.0,5,13.501547
33.0,26,13.520287
57.0,5,13.524039
57.0,5,13.53319
48.0,14,13.543825
60.0,5,13.547478
67.0,6,13.552567
56.0,14,13.567731
55.0,19,13.585677
74.0,7,13.594168
73.0,8,13.601313
73.0,8,13.611709
46.0,16,13.624861
64.0,3,13.627599
57.0,2,13.628467
57.0,19,13.649826
58.0,12,13.660372
59.0,3,13.664258
66.0,4,13.668335
56.0,6,13.67718
66.0,4,13.681182
86.0,28,13.704993
64.0,3,13.708279
59.0,17,13.726326
59.0,14,13.740398
57.0,13,13.751193
45.0,20,13.766298
48.0,14,13.780278
50.0,1,13.783835
59.0,3,13.785136
60.0,5,13.791642
50.0,1,13.795745
59.0,6,13.800169
46.0,16,13.813006
66.0,4,13.816358
46.0,16,13.835604
53.0,12,13.846925
71.0,4,13.850199
90.0,10,13.859053
63.0,7,13.869491
56.0,9,13.877345
66.0,4,13.880934
50.0,1,13.881433
67.0,15,13.898259
57.0,8,13.905532
58.0,4,13.909971
59.0,3,13.913596
58.0,4,13.921543
58.0,4,13.925928
59.0,6,13.930975
69.0,10,13.941268
60.0,5,13.949699
57.0,5,13.954358
59.0,9,13.969431
61.0,4,13.973439
55.0,24,13.998448
70.0,8,14.006108
56.0,9,14.015654
64.0,6,14.019458
54.0,8,14.029639
57.0,11,14.039438
55.0,7,14.046757
65.0,5,14.051166
83.0,9,14.063461
75.0,14,14.079628
56.0,20,14.098588
61.0,18,14.113955
73.0,5,14.121739
67.0,9,14.130579
59.0,3,14.131561
57.0,5,14.137169
55.0,10,14.150252
50.0,1,14.150769
58.0,4,14.154047
61.0,4,14.157951
45.0,17,14.178191
55.0,7,14.183182
58.0,13,14.19593
94.0,8,14.201645
52.0,27,14.225163
64.0,6,14.232182
66.0,4,14.23593
58.0,4,14.23992
68.0,8,14.251321
57.0,2,14.25228
52.0,13,14.265061
53.0,9,14.273475
60.0,5,14.280844
78.0,14,14.294347
54.0,8,14.301731
76.0,10,14.308652
58.0,7,14.319659
58.0,7,14.326659
53.0,9,14.333915
57.0,5,14.339054
56.0,6,14.349889
53.0,17,14.365764
61.0,9,14.374325
58.0,4,14.377957
59.0,17,14.396969
57.0,5,14.403931
58.0,4,14.408561
59.0,3,14.410305
68.0,8,14.423741
81.0,8,14.43117
55.0,7,14.438306
64.0,6,14.445765
59.0,3,14.450643
50.0,1,14.454329
62.0,8,14.460896
56.0,6,14.46505
50.0,1,14.468733
53.0,18,14.484062
60.0,5,14.488474
30.0,29,14.514138
56.0,6,14.523624
53.0,12,14.531982
52.0,10,14.541029
59.0,3,14.544695
61.0,4,14.552426
53.0,24,14.57244
55.0,7,14.578282
64.0,26,14.595666
58.0,4,14.603549
62.0,9,14.614877
58.0,4,14.618217
59.0,15,14.628476
58.0,4,14.636572
62.0,6,14.644527
55.0,13,14.656536
88.0,9,14.663734
52.0,10,14.678353
54.0,8,14.685187
57.0,2,14.685876
62.0,8,14.692889
59.0,3,14.710435
57.0,5,14.716564
53.0,12,14.734247
65.0,5,14.745371
60.0,17,14.765518
50.0,12,14.777618
59.0,3,14.780883
71.0,13,14.789065
58.0,7,14.799964
58.0,4,14.80411
57.0,16,14.818729
64.0,6,14.823049
56.0,6,14.834193
59.0,3,14.83583
64.0,9,14.846307
-39.0,30,14.869545
58.0,4,14.877538
60.0,5,14.882269
57.0,8,14.890946
50.0,1,14.89392
73.0,5,14.902156
59.0,3,14.906078
65.0,5,14.910548
48.0,14,14.921112
55.0,7,14.931606
58.0,10,14.940576
75.0,6,14.944455
65.0,5,14.947454
20.0,30,14.978702
57.0,2,14.979746
58.0,4,14.983763
58.0,4,14.988005
73.0,5,14.99864
58.0,4,15.002872
66.0,4,15.006726
55.0,10,15.014969
59.0,3,15.023362
55.0,7,15.029292
59.0,3,15.030345
63.0,18,15.046143
50.0,1,15.049906
57.0,5,15.054739
68.0,13,15.069743
55.0,7,15.075987
57.0,13,15.094186
59.0,3,15.09569
58.0,4,15.099624
50.0,1,15.102401
56.0,6,15.11131
59.0,3,15.114869
59.0,3,15.118045
59.0,6,15.122955
59.0,6,15.13325
55.0,10,15.141452
59.0,3,15.144099
57.0,19,15.163213
57.0,2,15.167752
61.0,7,15.174614
58.0,12,15.185725
79.0,25,15.204994
51.0,11,15.21948
66.0,7,15.226141
52.0,13,15.234902
56.0,6,15.239376
63.0,7,15.249682
52.0,10,15.260815
54.0,11,15.268947
61.0,12,15.278825
83.0,9,15.29095
57.0,5,15.294432
69.0,12,15.302226
77.0,10,15.308142
56.0,6,15.329425
63.0,7,15.335288
68.0,5,15.338666
